,Disease,Symptom_1,Symptom_2,Symptom_3,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,disease
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,0
1,Allergy, continuous_sneezing, shivering, chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,1
2,GERD, stomach_pain, acidity, ulcers_on_tongue,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,2
3,Chronic cholestasis,itching, vomiting, yellowish_skin,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,3
4,Drug Reaction,itching, skin_rash, stomach_pain,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,4
5,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,5
6,AIDS, muscle_wasting, patches_in_throat, high_fever,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,6
7,Gastroenteritis, vomiting, sunken_eyes, dehydration,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,7
8,Bronchial Asthma, fatigue, cough, high_fever,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,8
9,Migraine, acidity, indigestion, headache,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,9
10,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,10
11,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage,eat healthy,exercise,consult doctor,11
12,Jaundice,itching, vomiting, fatigue,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,12
13,Malaria, chills, vomiting, high_fever,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,13
14,Chicken pox,itching, skin_rash, fatigue,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,14
15,Dengue, skin_rash, chills, joint_pain,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,15
16,Typhoid, chills, vomiting, fatigue,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,16
17,hepatitis A, joint_pain, vomiting, yellowish_skin,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,17
18,Hepatitis B,itching, fatigue, lethargy,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,18
19,Hepatitis C, fatigue, yellowish_skin, nausea,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital,vaccination,eat healthy,medication,19
20,Hepatitis D, joint_pain, vomiting, fatigue,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",consult doctor,medication,eat healthy,follow up,20
21,Hepatitis E, joint_pain, vomiting, fatigue,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication,21
22,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up,22
23,Tuberculosis, chills, vomiting, fatigue,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest,23
24,Common Cold, continuous_sneezing, chills, fatigue,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,24
25,Pneumonia, chills, fatigue, cough,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up,25
26,Heart attack, vomiting, breathlessness, sweating,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,,26
27,Varicose veins, fatigue, cramps, bruising,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,27
28,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep,28
29,Hyperthyroidism, fatigue, mood_swings, weight_loss,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy,massage,use lemon balm,take radioactive iodine treatment,29
30,Hypoglycemia, vomiting, fatigue, anxiety, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side,check in pulse,drink sugary drinks,consult doctor,30
31,Osteoarthristis, joint_pain, neck_pain, knee_pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",acetaminophen,consult nearest hospital,follow up,salt baths,31
32,Arthritis, muscle_weakness, stiff_neck, swelling_joints,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",exercise,use hot and cold therapy,try acupuncture,massage,32
33,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,lie down,avoid sudden change in body,avoid abrupt head movment,relax,33
